,,,,,,Session 1,,,,,,Session 2,,
,,,,,Class Leader,Assistant,Assistant,,,,Class Leader,Assistant,Assistant,Assistant
,,,,Green House,Topic of Study,Liaison,Room,,,Green House,Topic of Study,Liaison,Room,
,,,,,,,,,,,,,,
,,,,10-11 am,,,,,,10-11 am,,,,
,,,,11-12 pm,,,,,,11-12 pm,,,,
,,,,,,,,,,,,,,
,,,,Saplings,Topic of Study,Liaison,Room,,,Saplings,Topic of Study,Liaison,Room,
,,,,,,,,,,,,,,
,,,,10-11 am,,,,,,10-11 am,,,,
,,,,11-12 pm,,,,,,11-12 pm,,,,
,,,,,,,,,,,,,,
,,,,Sassafras,Topic of Study,Liaison,Room,,,Sassafras,Topic of Study,Liaison,Room,
,,,,,,First and Last Name,TRUST,,,,Becoming Nocturnal,First and Last Name,TRUST,
,,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,First and Last Name,,10-11 am,First and Last Name,First and Last Name,First and Last Name,First and Last Name
,,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,First and Last Name
,,,,,,,,,,,,,,
,,,,Oaks,Topic of Study,Liaison,Room,,,Oaks,Topic of Study,Liaison,Room,
,,,,,The Science of Cooking,First and Last Name,PATIENCE,,,,STEAM,First and Last Name,PATIENCE,
,,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,
,,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,
,,,,,,,,,,,,,,
,,,,Maples,Topic of Study,Liaison,Room,,,Maples,Topic of Study,Liaison,Room,
,,,,,"Inventors, Explorers, & Eco Warriors",First and Last Name,FAITHFULNESS,,,,Adventures with Alice in Wonderland ,First and Last Name,FAITHFULNESS,
,,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,
,,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,
,,,,,,,,,,,,,,
,,,,Birch,Topic of Study,Liason,Room,,,Birch,Topic of Study,Liason,Room,
,,,,,The Human Body,First and Last Name,MPR,,,,Maps & Treasures ,Jenna Stensland,MPR,
,,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,
,,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,
,,,,,,,,,,,,,,
,,,,Willows,Topic of Study,Liaison,Room,,,Willows,Topic of Study,Liaison,Room,
,,,,,Art,First and Last Name,GOODNESS,,,,It's a surprise!,First and Last Name,GOODNESS,
,,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,First and Last Name,,10-11 am,First and Last Name,First and Last Name,First and Last Name,
,,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,First and Last Name,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,
,,,,,,,,,,,,,,
,,,,Cedars,Topic of Study,Liason,Room,,,Cedars,Topic of Study,Liason,Room,
,,,,,Australia,First and Last Name,JYF,,,,Woodworking,First and Last Name,JYF,
,,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,First and Last Name
,,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,First and Last Name
,,,,,,,,,,,,,,
,,,,Pigeons,Topic of Study,Liaison,Room,,,Pigeons,Topic of Study,Liaison,Room,
,,,,,LARPing,First and Last Name,MYF,,,,International sweets and eats,First and Last Name,MYF,
,,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,First and Last Name,,10-11 am,First and Last Name,First and Last Name,First and Last Name,
,,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,First and Last Name,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,
,,,,,,,,,,,,,,
,,,,Floater*,,,,,,Floater*,,,,
,,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,First and Last Name,,10-11 am,First and Last Name,First and Last Name,,
,,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,First and Last Name,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,
,,,,,,,,,,,,,,
,,,,Prep Period**,,,,,,Prep Period**,,,,
,,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,,,10-11 am,First and Last Name,,,
,,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,,,11-12 pm,First and Last Name,First and Last Name,First and Last Name,
,,,,,,,,,,,,,,
,,,,Board Duties,,,,,,Board Duties,,,,
,,,,10-11 am,First and Last Name,,,,,10-11 am,First and Last Name,First and Last Name,First and Last Name,First and Last Name
,,,,11-12 pm,,,,,,11-12 pm,First and Last Name,First and Last Name,,
,,,,,,,,,,,,,,
,,,,"*Floaters will need to check the ""Absence Alert"" Google space regularly, especially the day before and the morning of a regularly scheduled co-op day, to fill in for any absences.",,,,,,"*Floaters will need to check the ""Absence Alert"" Google space regularly, especially the day before and the morning of a regularly scheduled co-op day, to fill in for any absences.",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,"**Prep Period is one hour of time for members to plan and prepare for co-op classes and events. Prep Period will gather in the Fellowship Hall. Priority is given to those who are leading classes and events. If coverage for absences is needed, those in Prep Period may be asked to step in.",,,,,,"**Prep Period is one hour of time for members to plan and prepare for co-op classes and events. Prep Period will gather in the Fellowship Hall. Priority is given to those who are leading classes and events. If coverage for absences is needed, those in Prep Period may be asked to step in.",,,,