,,,,,,,,,,
,,,, Early Years                                                (ages~3-7),, Young Years                                               (ages~8-11),, Middle/TeenYears                                               (ages~11+),,
,,,,Nature Art,,DND Lite,,Dessert/Baking,,BOLD = Ideas from 2025
,,,,Crafts,,Mystery class,,Australia themed class,,
,,,,Truth or Dare,,Nature Art,,Puppet Shows,,
,,,,Reptiles,,Crafts,,Sports of All Sorts,,
,,,,Making stuffed animals,,Truth or Dare,,Dungeons and Dragons,,
,,,,Hot air balloons,,"Taste Testing-sour, spicy, sweet, salty",,Advanced Art,,
,,,,Baking/Cake Decorating*,,Percy Jackson,,Embroidery,,
,,,,Playdough,,Jewelry,,"Outdoor Games (Sardines, hide&seek)*",,
,,,,Painting/Art/Food Art*,,Animals of the World,,Primitive shelter building,,
,,,,Building (nature/blocks/cardboard)*,,Martial arts (ninja obstacle course),,Among Us In Real Life,,
,,,,Trees,,Making miniatures & scenes,,Doodle Class,,
,,,,Flowers,,Sewing,,Nerf Battle Class,,
,,,,Cats,,Fashion Design,,History of Nintendo,,
,,,,Fish,,Minute to Win it Games*,,Archery,,
,,,,Dinosours,,Ancient History Around the World,,Basketball,,
,,,,Weddings,,Space/Astronomy/Shooting Stars*,,Junk food making*,,
,,,,Weaving,,Beeswax Crafts,,Parcour,,
,,,,Dance,,Canine Predators,,Costume/prop making*,,
,,,,Caterpillars,,Foods Around the World,,Dragons,,
,25/26 Afternoon Class Submission Form,,,Buses,,Science,,Machine sewing,,
,,,,Camping,,Gymnastics*,,Painting*,,
,,,,Hairstyling,,Bunnies,,Nature Art,,
,,,,Castles,,Horrible Histories,,Resin,,
,*Popular request by multiple children,,,Gems*,,Writing books,,Mixology/Drinks Around the World*,,
,,,,Costumes*,,Greeking Out,,Legos,,
,,,,Snow,,Doughnut Making*,,Animal facts & trivia,,
,,,,Scuplting*,,Crystals,,Craft club*,,
,,,,Make-up/facepaint,,Exercise Challenges*,,Fiber Arts*,,
,,,,Wikkistix/Pipecleaner Crafts*,,Pokemon,,Fort Building,,
,,,,Origami,,Digital Art,,Charades & Snacks,,
,,,,Dreams,,Fossils,,Clay Critters*,,
,,,,Foxes,,Gardening,,Physical Challenges*,,
,,,,,,Remote Control Car Obstacle Course,,Photography,,
,,,,,,Hide & Seek,,Coding,,
,,,,,,Tag/Freeze Tag/Freeze Dance*,,Mythology,,
,,,,,,Geology,,Movie Making,,
,,,,,,Star Wars,,Board Game Design,,
,,,,,,Pixel Art,,Roller Blades,,
,,,,,,Theater,,Making Miniatures*,,
,,,,,,Yoga,,Face Painting,,
,,,,,,Ballroom Dance,,Archery,,
,,,,,,Emojis,,Movie Club,,
,,,,,,Flag Football/Capture the Flag*,,Obstacle Course*,,
,,,,,,Ocean life*,,Kickball,,
,,,,,,Food chains,,Capture the Flag*,,
,,,,,,Drawing,,Cut Throat Kitchen/Chopped*,,
,,,,,,,,Sewing (with some machines maybe??),,
,,,,,,,,Cubing/ speed cubing ,,